task_count,avg_runtime_sec,cumulative_avg_runtime_sec,num_instances
7,0.00037691549805458636,0.00037691549805458636,40
8,0.0004839743814955,0.0008608898795500863,8
9,0.0005548575831603052,0.0014157474627103915,36
11,0.0006163194709436291,0.0020320669336540203,66
21,0.001218640855984718,0.0032507077896387383,42
25,0.0016358125500292296,0.0048865203396679675,42
28,0.001612455646560799,0.006498975986228767,48
29,0.002178625857465834,0.0086776018436946,56
30,0.002267031820439216,0.010944633664133816,72
32,0.002646638084722023,0.013591271748855839,48
35,0.0028761100703767234,0.016467381819232563,56
45,0.0029029150733549613,0.019370296892587523,80
53,0.003369869804009795,0.022740166696597317,40
58,0.009584017936958844,0.03232418463355616,128
70,0.00824747564070094,0.0405716602742571,128
75,0.019470363281167618,0.06004202355542472,192
83,0.009680008156010445,0.06972203171143516,128
89,0.013632650999385982,0.08335468271082115,173
94,0.011874263229961239,0.09522894594078239,104
111,0.018355090080791236,0.11358403602157363,136
148,0.03093639956485796,0.1445204355864316,280
297,0.07848091482698621,0.22300135041341781,208
