alpha,instance,n,opt,lm1,lms1,lm2,lm3,lm4,gap_lm1_pct,gap_lms1_pct,gap_lm2_pct,gap_lm3_pct,gap_lm4_pct
0.25,Arc111_c=10027.alb,111,16,15,15,4,7,,6.25,6.25,75.0,56.25,
0.25,Arc111_c=10743.alb,111,15,14,14,2,4,,6.666666666666667,6.666666666666667,86.66666666666667,73.33333333333333,
0.25,Arc111_c=11570.alb,111,13,13,13,0,4,,0.0,0.0,100.0,69.23076923076923,
0.25,Arc111_c=17067.alb,111,9,9,9,0,1,,0.0,0.0,100.0,88.88888888888889,
0.25,Arc111_c=5785.alb,111,27,26,26,17,21,,3.7037037037037033,3.7037037037037033,37.03703703703704,22.22222222222222,
0.25,Arc111_c=6016.alb,111,26,25,25,15,18,,3.8461538461538463,3.8461538461538463,42.30769230769231,30.76923076923077,
0.25,Arc111_c=6267.alb,111,25,24,24,14,17,,4.0,4.0,44.0,32.0,
0.25,Arc111_c=6540.alb,111,24,23,23,13,17,,4.166666666666666,4.166666666666666,45.83333333333333,29.166666666666668,
0.25,Arc111_c=6837.alb,111,23,22,22,12,15,,4.3478260869565215,4.3478260869565215,47.82608695652174,34.78260869565217,
0.25,Arc111_c=7162.alb,111,22,21,21,8,13,,4.545454545454546,4.545454545454546,63.63636363636363,40.909090909090914,
0.25,Arc111_c=7520.alb,111,21,20,20,8,13,,4.761904761904762,4.761904761904762,61.904761904761905,38.095238095238095,
0.25,Arc111_c=7916.alb,111,20,19,19,8,12,,5.0,5.0,60.0,40.0,
0.25,Arc111_c=8356.alb,111,19,18,18,5,10,,5.263157894736842,5.263157894736842,73.68421052631578,47.368421052631575,
0.25,Arc111_c=9400.alb,111,17,16,16,5,7,,5.88235294117647,5.88235294117647,70.58823529411765,58.82352941176471,
0.25,Arc83_c=3786.alb,83,21,20,20,5,9,,4.761904761904762,4.761904761904762,76.19047619047619,57.14285714285714,
0.25,Arc83_c=3985.alb,83,20,19,19,5,6,,5.0,5.0,75.0,70.0,
0.25,Arc83_c=4206.alb,83,19,18,18,4,6,,5.263157894736842,5.263157894736842,78.94736842105263,68.42105263157895,
0.25,Arc83_c=4454.alb,83,18,17,17,4,6,,5.555555555555555,5.555555555555555,77.77777777777779,66.66666666666666,
0.25,Arc83_c=4732.alb,83,17,16,16,3,6,,5.88235294117647,5.88235294117647,82.35294117647058,64.70588235294117,
0.25,Arc83_c=5048.alb,83,16,15,15,3,5,,6.25,6.25,81.25,68.75,
0.25,Arc83_c=5408.alb,83,15,14,14,2,4,,6.666666666666667,6.666666666666667,86.66666666666667,73.33333333333333,
0.25,Arc83_c=5824.alb,83,14,13,13,1,3,,7.142857142857142,7.142857142857142,92.85714285714286,78.57142857142857,
0.25,Arc83_c=6309.alb,83,13,12,12,1,2,,7.6923076923076925,7.6923076923076925,92.3076923076923,84.61538461538461,
0.25,Arc83_c=6883.alb,83,12,11,11,1,2,,8.333333333333332,8.333333333333332,91.66666666666666,83.33333333333334,
0.25,Arc83_c=7571.alb,83,11,10,10,0,2,,9.090909090909092,9.090909090909092,100.0,81.81818181818183,
0.25,Sawyer30_c=33.alb,30,11,10,10,5,7,,9.090909090909092,9.090909090909092,54.54545454545454,36.36363636363637,
0.25,Sawyer30_c=47.alb,30,7,7,7,1,4,,0.0,0.0,85.71428571428571,42.857142857142854,
0.25,Tonge70_c=160.alb,70,23,22,22,14,16,,4.3478260869565215,4.3478260869565215,39.130434782608695,30.434782608695656,
0.25,Tonge70_c=168.alb,70,22,21,21,13,15,,4.545454545454546,4.545454545454546,40.909090909090914,31.818181818181817,
0.25,Tonge70_c=176.alb,70,21,20,20,12,15,,4.761904761904762,4.761904761904762,42.857142857142854,28.57142857142857,
0.25,Tonge70_c=185.alb,70,20,19,19,9,14,,5.0,5.0,55.00000000000001,30.0,
0.25,Tonge70_c=195.alb,70,19,18,18,8,13,,5.263157894736842,5.263157894736842,57.89473684210527,31.57894736842105,
0.25,Tonge70_c=207.alb,70,18,17,17,7,11,,5.555555555555555,5.555555555555555,61.111111111111114,38.88888888888889,
0.25,Tonge70_c=220.alb,70,17,16,16,7,9,,5.88235294117647,5.88235294117647,58.82352941176471,47.05882352941176,
0.25,Tonge70_c=234.alb,70,16,15,15,7,8,,6.25,6.25,56.25,50.0,
0.25,Tonge70_c=251.alb,70,14,14,14,6,7,,0.0,0.0,57.14285714285714,50.0,
0.25,Tonge70_c=270.alb,70,14,13,13,4,5,,7.142857142857142,7.142857142857142,71.42857142857143,64.28571428571429,
0.25,Tonge70_c=293.alb,70,13,12,12,2,4,,7.6923076923076925,7.6923076923076925,84.61538461538461,69.23076923076923,
0.25,Tonge70_c=320.alb,70,11,11,11,0,4,,0.0,0.0,100.0,63.63636363636363,
0.25,arc111_c=11378.alb,111,14,14,14,1,4,,0.0,0.0,92.85714285714286,71.42857142857143,
0.25,arc111_c=5755.alb,111,27,27,27,18,21,,0.0,0.0,33.33333333333333,22.22222222222222,
0.25,arc111_c=8847.alb,111,18,17,17,5,9,,5.555555555555555,5.555555555555555,72.22222222222221,50.0,
0.25,arc83_c=10816.alb,83,8,7,7,0,1,,12.5,12.5,100.0,87.5,
0.25,arc83_c=5853.alb,83,14,13,13,1,3,,7.142857142857142,7.142857142857142,92.85714285714286,78.57142857142857,
0.25,arc83_c=6842.alb,83,12,12,12,1,2,,0.0,0.0,91.66666666666666,83.33333333333334,
0.25,arc83_c=8412.alb,83,10,9,9,0,1,,10.0,10.0,100.0,90.0,
0.25,arc83_c=8898.alb,83,9,9,9,0,1,,0.0,0.0,100.0,88.88888888888889,
0.25,barthol2_c=101.alb,148,42,42,42,20,27,,0.0,0.0,52.38095238095239,35.714285714285715,
0.25,barthol2_c=104.alb,148,41,41,41,18,25,,0.0,0.0,56.09756097560976,39.02439024390244,
0.25,barthol2_c=106.alb,148,40,40,40,16,24,,0.0,0.0,60.0,40.0,
0.25,barthol2_c=109.alb,148,39,39,39,15,24,,0.0,0.0,61.53846153846154,38.46153846153847,
0.25,barthol2_c=112.alb,148,38,38,38,13,23,,0.0,0.0,65.78947368421053,39.473684210526315,
0.25,barthol2_c=115.alb,148,37,37,37,13,23,,0.0,0.0,64.86486486486487,37.83783783783784,
0.25,barthol2_c=118.alb,148,36,36,36,12,21,,0.0,0.0,66.66666666666666,41.66666666666667,
0.25,barthol2_c=121.alb,148,35,35,35,12,18,,0.0,0.0,65.71428571428571,48.57142857142857,
0.25,barthol2_c=125.alb,148,34,34,34,11,16,,0.0,0.0,67.64705882352942,52.94117647058824,
0.25,barthol2_c=129.alb,148,33,33,33,8,15,,0.0,0.0,75.75757575757575,54.54545454545454,
0.25,barthol2_c=133.alb,148,32,32,32,7,15,,0.0,0.0,78.125,53.125,
0.25,barthol2_c=137.alb,148,31,31,31,7,15,,0.0,0.0,77.41935483870968,51.61290322580645,
0.25,barthol2_c=142.alb,148,30,30,30,6,11,,0.0,0.0,80.0,63.33333333333333,
0.25,barthol2_c=146.alb,148,29,29,29,6,10,,0.0,0.0,79.3103448275862,65.51724137931035,
0.25,barthol2_c=152.alb,148,28,28,28,6,10,,0.0,0.0,78.57142857142857,64.28571428571429,
0.25,barthol2_c=157.alb,148,27,27,27,4,9,,0.0,0.0,85.18518518518519,66.66666666666666,
0.25,barthol2_c=163.alb,148,26,26,26,1,8,,0.0,0.0,96.15384615384616,69.23076923076923,
0.25,barthol2_c=170.alb,148,25,25,25,0,7,,0.0,0.0,100.0,72.0,
0.25,barthol2_c=84.alb,148,51,51,51,31,39,,0.0,0.0,39.21568627450981,23.52941176470588,
0.25,barthol2_c=85.alb,148,51,50,50,30,38,,1.9607843137254901,1.9607843137254901,41.17647058823529,25.49019607843137,
0.25,barthol2_c=87.alb,148,49,49,49,30,37,,0.0,0.0,38.775510204081634,24.489795918367346,
0.25,barthol2_c=89.alb,148,49,48,48,30,36,,2.0408163265306123,2.0408163265306123,38.775510204081634,26.53061224489796,
0.25,barthol2_c=91.alb,148,47,47,47,29,35,,0.0,0.0,38.297872340425535,25.53191489361702,
0.25,barthol2_c=93.alb,148,47,46,46,27,34,,2.127659574468085,2.127659574468085,42.5531914893617,27.659574468085108,
0.25,barthol2_c=95.alb,148,45,45,45,22,33,,0.0,0.0,51.11111111111111,26.666666666666668,
0.25,barthol2_c=97.alb,148,44,44,44,20,29,,0.0,0.0,54.54545454545454,34.090909090909086,
0.25,barthol2_c=99.alb,148,43,43,43,20,28,,0.0,0.0,53.48837209302325,34.883720930232556,
0.25,barthold_c=403.alb,148,14,14,14,2,5,,0.0,0.0,85.71428571428571,64.28571428571429,
0.25,barthold_c=434.alb,148,13,13,13,2,4,,0.0,0.0,84.61538461538461,69.23076923076923,
0.25,barthold_c=470.alb,148,12,12,12,2,3,,0.0,0.0,83.33333333333334,75.0,
0.25,barthold_c=513.alb,148,11,11,11,2,2,,0.0,0.0,81.81818181818183,81.81818181818183,
0.25,barthold_c=564.alb,148,10,10,10,1,2,,0.0,0.0,90.0,80.0,
0.25,barthold_c=626.alb,148,9,9,9,1,1,,0.0,0.0,88.88888888888889,88.88888888888889,
0.25,barthold_c=705.alb,148,8,8,8,1,1,,0.0,0.0,87.5,87.5,
0.25,barthold_c=805.alb,148,7,7,7,0,1,,0.0,0.0,100.0,85.71428571428571,
0.25,bowman8_c=20.alb,8,5,4,4,4,4,,20.0,20.0,20.0,20.0,
0.25,buxey_c=27.alb,29,13,12,12,12,12,,7.6923076923076925,7.6923076923076925,7.6923076923076925,7.6923076923076925,
0.25,buxey_c=30.alb,29,12,11,11,8,9,,8.333333333333332,8.333333333333332,33.33333333333333,25.0,
0.25,buxey_c=33.alb,29,11,10,10,5,7,,9.090909090909092,9.090909090909092,54.54545454545454,36.36363636363637,
0.25,buxey_c=36.alb,29,10,9,9,4,7,,10.0,10.0,60.0,30.0,
0.25,buxey_c=41.alb,29,8,8,8,2,6,,0.0,0.0,75.0,25.0,
0.25,buxey_c=47.alb,29,7,7,7,1,4,,0.0,0.0,85.71428571428571,42.857142857142854,
0.25,buxey_c=54.alb,29,7,6,6,0,2,,14.285714285714285,14.285714285714285,100.0,71.42857142857143,
0.25,gunther_c=41.alb,35,14,12,12,12,12,,14.285714285714285,14.285714285714285,14.285714285714285,14.285714285714285,
0.25,gunther_c=44.alb,35,12,11,11,11,10,,8.333333333333332,8.333333333333332,8.333333333333332,16.666666666666664,
0.25,gunther_c=49.alb,35,11,10,10,7,8,,9.090909090909092,9.090909090909092,36.36363636363637,27.27272727272727,
0.25,gunther_c=54.alb,35,9,9,9,7,8,,0.0,0.0,22.22222222222222,11.11111111111111,
0.25,gunther_c=61.alb,35,9,8,8,2,6,,11.11111111111111,11.11111111111111,77.77777777777779,33.33333333333333,
0.25,gunther_c=69.alb,35,8,7,7,2,5,,12.5,12.5,75.0,37.5,
0.25,gunther_c=81.alb,35,7,6,6,0,4,,14.285714285714285,14.285714285714285,100.0,42.857142857142854,
0.25,hahn_c=2004.alb,53,8,7,7,4,4,,12.5,12.5,50.0,50.0,
